コード,銘柄名
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ
2072,トップシェアインデックス（ネットリターン）ＥＴＮ
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ
2081,政策保有解消推進ＥＴＦ
2082,投資家経営者一心同体ＥＴＦ
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）
2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）
2094,東証ＲＥＩＴインバースＥＴＦ
2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ
2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ
2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ
210A,ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数
213A,上場インデックスファンド日経半導体株
221A,ＭＡＸＩＳ日経半導体株上場投信
2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし
2236,グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ
2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ
2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース
2239,上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍
223A,グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ
2240,上場インデックスファンドＳ＆Ｐ５００先物インバース
2241,ＭＡＸＩＳ　ＮＹダウ上場投信
2242,ＭＡＸＩＳ　ＮＹダウ上場投信（為替ヘッジあり）
2243,グローバルＸ　半導体　ＥＴＦ
2244,グローバルＸ　ＵＳ　テック・トップ２０　ＥＴＦ
2245,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・ドイツ国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信
2246,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・フランス国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信
2247,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジなし）
2248,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジあり）
2249,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルインバース
224A,グローバルＸ　ウラニウムビジネス　ＥＴＦ
2250,ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ
2251,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ国債先物ダブルインバース指数連動型上場投信
2252,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　米国中小型　Ｍｏａｔ　ＥＴＦ
2253,グローバルＸ　スーパーディビィデンド－ＵＳ　ＥＴＦ
2254,グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ
2255,ｉシェアーズ　米国債２０年超　ＥＴＦ
2256,ｉシェアーズ　米国総合債券　ＥＴＦ
2257,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ
2258,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ
2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）
233A,ｉＦｒｅｅＥＴＦ　インドＮｉｆｔｙ５０
234A,グローバルＸ　ＭＳＣＩ　キャッシュフローキング－日本株式　ＥＴＦ
235A,グローバルＸ　高配当３０－日本株式　ＥＴＦ
236A,ｉシェアーズ　日本国債７－１０年　ＥＴＦ
237A,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ
238A,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ（為替ヘッジあり）
2510,ＮＥＸＴ　ＦＵＮＤＳ　国内債券・ＮＯＭＵＲＡ－ＢＰＩ総合連動型上場投信
2511,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信
2512,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信
2513,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信
2514,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信
2515,ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信
2516,東証グロース２５０ＥＴＦ
2517,ＭＡＸＩＳ　Ｊリート・コア上場投信
2518,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩ日本株女性活躍指数（セレクト）連動型上場投信
2519,ＮＥＸＴ　ＦＵＮＤＳ　新興国債券・Ｊ．Ｐ．モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信
2520,ＮＥＸＴ　ＦＵＮＤＳ　新興国株式・ＭＳＣＩエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信
2521,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）為替ヘッジあり
2522,ｉシェアーズ　オートメーション　＆　ロボット　ＥＴＦ
2523,ＭＡＸＩＳトピックス（除く金融）上場投信
2524,ＮＺＡＭ　上場投信　ＴＯＰＩＸ
2525,ＮＺＡＭ　上場投信　日経２２５
2526,ＮＺＡＭ　上場投信　ＪＰＸ日経４００
2527,ＮＺＡＭ　上場投信　東証ＲＥＩＴ　Ｃｏｒｅ指数
2528,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ　Ｃｏｒｅ指数
2529,ＮＥＸＴ　ＦＵＮＤＳ　野村株主還元７０連動型上場投信
2530,ＭＡＸＩＳ　ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信
2552,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）
2553,Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００
2554,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国投資適格社債（１－１０年）インデックス（為替ヘッジあり）連動型上場投信
2555,東証ＲＥＩＴ　ＥＴＦ
2556,Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数
2557,ＳＭＤＡＭ　トピックス上場投信
2558,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信
2559,ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信
2560,ＭＡＸＩＳカーボン・エフィシェント日本株上場投信
2561,ｉシェアーズ・コア　日本国債　ＥＴＦ
2562,上場インデックスファンド米国株式（ダウ平均）為替ヘッジあり
2563,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）
2564,グローバルＸ　ＭＳＣＩスーパーディビィデンド－日本株式　ＥＴＦ
2565,グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ
2566,上場インデックスファンド日経ＥＳＧリート
2567,ＮＺＡＭ　上場投信　Ｓ＆Ｐ／ＪＰＸカーボン・エフィシェント指数
2568,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジなし
2569,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジあり
2620,ｉシェアーズ　米国債１－３年　ＥＴＦ
2621,ｉシェアーズ　米国債２０年超　ＥＴＦ（為替ヘッジあり）
2622,ｉシェアーズ　米ドル建て新興国債券　ＥＴＦ（為替ヘッジあり）
2623,ｉシェアーズ　ユーロ建て投資適格社債　ＥＴＦ（為替ヘッジあり）
2624,ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）
2625,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）
2626,グローバルＸ　デジタル・イノベーション－日本株式　ＥＴＦ
2627,グローバルＸ　ｅコマース－日本株式　ＥＴＦ
2628,ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）
2629,ｉＦｒｅｅＥＴＦ　中国グレーターベイエリア・イノベーション１００（ＧＢＡ１００）
2630,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信（為替ヘッジあり）
2631,ＭＡＸＩＳナスダック１００上場投信
2632,ＭＡＸＩＳナスダック１００上場投信（為替ヘッジあり）
2633,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信
2634,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジあり）連動型上場投信
2635,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　ＥＳＧ指数連動型上場投信
2636,グローバルＸ　ＭＳＣＩ　ガバナンス・クオリティ－日本株式　ＥＴＦ
2637,グローバルＸ　クリーンテック－日本株式　ＥＴＦ
2638,グローバルＸ　ロボティクス＆ＡＩ－日本株式　ＥＴＦ
2639,グローバルＸ　バイオ＆メドテック－日本株式　ＥＴＦ
2640,グローバルＸ　ゲーム＆アニメ－日本株式　ＥＴＦ
2641,グローバルＸ　グローバルリーダーズ－日本株式　ＥＴＦ
2642,ＳＭＴ　ＥＴＦカーボン・エフィシェント日本株
2643,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパンカントリーＥＳＧリーダーズ指数連動型上場投信
2644,グローバルＸ　半導体関連－日本株式　ＥＴＦ
2645,グローバルＸ　レジャー＆エンターテインメント－日本株式　ＥＴＦ
2646,グローバルＸ　メタルビジネス－日本株式　ＥＴＦ
2647,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジなし）連動型上場投信
2648,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信
