コード,銘柄名,類似米国ETFティッカー
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,HDV
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,SHE
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ESGU
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,EWJ
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,SPY
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,IEF
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,EFA
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,EEM
1659,ｉシェアーズ　米国リート　ＥＴＦ,IYR
1660,ＭＡＸＩＳ高利回りＪリート上場投信,VNQ
1671,ＷＴＩ原油価格連動型上場投信,USO
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,GLD
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,SLV
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,PPLT
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,PALL
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,GLTR
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,BWX
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,INDA
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,DIA
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,EFA
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,EEM
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,DBC
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,XLE
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,XME
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,DBA
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,GRU
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,UNG
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,USO
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,UGA
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,JJU
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,CPER
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,JJN
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,WEAT
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,CORN
